"relative_path","full_path","size_bytes","sha256","extension","last_write_time","purpose","update_policy"
"Plan\Tracker\Reports\tracker_validation_report.json","C:\Comfy_UI_Main\Plan\Tracker\Reports\tracker_validation_report.json","408","aa2df79592de184e0e7b88c5020f54754f804b778c70c9c0ae3dbc9361585127",".json","2026-07-06T14:13:00","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Tracker\Schemas\tracker_row_schema.json","C:\Comfy_UI_Main\Plan\Tracker\Schemas\tracker_row_schema.json","1562","25475d7f5b51b6bc498940d6cf8bbfc2e81ee943d3cdaca6889077c5155324e6",".json","2026-07-06T04:06:46","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Tracker\Scripts\Run-Validate-TrackerPackage.ps1","C:\Comfy_UI_Main\Plan\Tracker\Scripts\Run-Validate-TrackerPackage.ps1","150","842a0502274bee559fbc919bf40262b2f2509f1e20ae752376f61d67ef40aba7",".ps1","2026-07-06T04:04:02","PowerShell automation/helper script.","inspect_before_update"
"Plan\Tracker\Scripts\validate_tracker_package.py","C:\Comfy_UI_Main\Plan\Tracker\Scripts\validate_tracker_package.py","3329","1a9582b7aabcc9c73159ef3a5f3ac1bed90962046c83d9cee1cec7304a8d346a",".py","2026-07-06T04:06:46","Python automation/helper script.","inspect_before_update"
"Plan\Tracker\Source_Citations\tracker_source_citation_index.csv","C:\Comfy_UI_Main\Plan\Tracker\Source_Citations\tracker_source_citation_index.csv","38918543","8afef73d1a16387598ee2e826e647956dcf631b3d189ba1799787ed0ee2fd9c3",".csv","2026-07-06T04:04:02","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\wave48_52_master_autonomous_tracker.csv","C:\Comfy_UI_Main\Plan\Tracker\wave48_52_master_autonomous_tracker.csv","140344210","f835af1ff41459c005d8e4daf2bfbc8dcb76979cfa5885cda353a43b8104b897",".csv","2026-07-06T04:06:12","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Waves\Wave48\wave48_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave48\wave48_tracker_rows.csv","57776259","1511f86866e2d4d2a8af71b9668f5c33b72202d8cfbe1c73968b94a9f36c7a8d",".csv","2026-07-06T04:06:16","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Waves\Wave48\WAVE48_TRACKER_SOURCE_CITATION_FRAMEWORK.md","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave48\WAVE48_TRACKER_SOURCE_CITATION_FRAMEWORK.md","530","a48e58996c9c5bab28c8c8f7018fae04436232c95713ff7e052da48ca6cc59a1",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\Waves\Wave49\WAVE49_TRACKER_AUTONOMOUS_EXECUTION_CONTROLS.md","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave49\WAVE49_TRACKER_AUTONOMOUS_EXECUTION_CONTROLS.md","525","0fbb83b9608cff164f657cd48fe84538db927c222f671c8eb843984422ee8f30",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\Waves\Wave49\wave49_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave49\wave49_tracker_rows.csv","230296","ddedb031bef922e5ddde56de0b1045e41d8d3bc497197261115313a7f61e87d5",".csv","2026-07-06T04:06:16","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Waves\Wave50\wave50_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave50\wave50_tracker_rows.csv","79703874","2d8d57841abac6b5dc00bd4d1f4da9adcaee4c2d28b872f4a0a9f142d31a0698",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Waves\Wave50\WAVE50_TRACKER_STRICT_QA_VISUAL_REVIEW.md","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave50\WAVE50_TRACKER_STRICT_QA_VISUAL_REVIEW.md","530","b90ba3ab936340535672afb3b2dd08d80fb615de6a19a217dd0a3268c3348ed1",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\Waves\Wave51\wave51_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave51\wave51_tracker_rows.csv","2513825","040bd3697ab987e64df5d2b4e39ad79f02992f8bf94ba3d4146b47fbec904731",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Waves\Wave51\WAVE51_TRACKER_RUNTIME_COMFYUI_APP_EC2.md","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave51\WAVE51_TRACKER_RUNTIME_COMFYUI_APP_EC2.md","523","20764fa7fba723e631dcd4ec7206e3ce011950cc407f3f2df6145371f961febb",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\Waves\Wave52\wave52_tracker_rows.csv","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave52\wave52_tracker_rows.csv","123192","63c0b92268f99c4d7012cb43ab01566e89fdff76e6cec476e02daa916ad6709d",".csv","2026-07-06T04:06:18","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Waves\Wave52\WAVE52_TRACKER_VALIDATION_HANDOFF_RELEASE.md","C:\Comfy_UI_Main\Plan\Tracker\Waves\Wave52\WAVE52_TRACKER_VALIDATION_HANDOFF_RELEASE.md","527","eb9930c90f75dbebe4f4026106d74ed36c5a01207503336e5de5f2ffb713d2f8",".md","2026-07-06T04:04:02","Markdown documentation/instruction/reference file.","inspect_before_update"
